Data_Hora,Ativo,Ticker,Moeda,Periodo,Populacao,Geracoes,Taxa_Mutacao,Taxa_Crossover,Lookback,Horizonte_Dias,Ultimo_Preco_Real,Preco_Projetado_Final,Variacao_Esperada_Pct,Tendencia,RMSE,MAE,MAPE_Pct,R2,Acuracia_Direcional_Pct
2026-09-06 10:47:33,Dólar (USD/BRL),USDBRL=X,BRL,1 Mês,0,0,0.0,0.85,10,3,5.5,5.5254,0.46,Lateralidade / Neutro [Regressão Linear (Ridge)],0.0,0.0,0.0,1.0,100.0
2026-09-06 10:47:43,Dólar (USD/BRL),USDBRL=X,BRL,1 Mês,20,5,0.1,0.85,10,3,5.5,5.65,2.73,Alta Estimada [Algoritmo Genético Evolutivo],0.015,0.012,0.25,0.96,85.0
2026-09-06 10:59:41,Dólar (USD/BRL),USDBRL=X,BRL,1 Mês,0,0,0.0,0.85,10,3,5.5,5.5254,0.46,Lateralidade / Neutro [Regressão Linear (Ridge)],0.0,0.0,0.0,1.0,100.0
2026-09-06 11:00:18,Dólar (USD/BRL),USDBRL=X,BRL,1 Mês,0,0,0.0,0.85,10,3,5.5,5.5254,0.46,Lateralidade / Neutro [Regressão Linear (Ridge)],0.0,0.0,0.0,1.0,100.0
2026-09-06 11:00:53,Dólar (USD/BRL),USDBRL=X,BRL,1 Mês,0,0,0.0,0.85,10,3,5.5,5.5254,0.46,Lateralidade / Neutro [Regressão Linear (Ridge)],0.0,0.0,0.0,1.0,100.0
2024-01-01 10:00:00,Dólar (USD/BRL),USDBRL=X,BRL,1y,50,20,0.15,0.85,10,5,5.42,5.48,1.1,Alta (Subida),0.045,0.035,0.65,0.92,68.5
2026-09-06 11:02:02,Dólar (USD/BRL),USDBRL=X,BRL,1 Mês,0,0,0.0,0.85,10,3,5.5,5.5254,0.46,Lateralidade / Neutro [Regressão Linear (Ridge)],0.0,0.0,0.0,1.0,100.0
2026-09-06 11:02:15,Dólar (USD/BRL),USDBRL=X,BRL,1 Mês,20,5,0.1,0.85,10,3,5.5,5.65,2.73,Alta Estimada [Algoritmo Genético Evolutivo],0.015,0.012,0.25,0.96,85.0
2026-09-06 11:02:39,Dólar (USD/BRL),USDBRL=X,BRL,1 Mês,20,5,0.1,0.85,10,3,5.5,5.65,2.73,Alta Estimada [Algoritmo Genético Evolutivo],0.015,0.012,0.25,0.96,85.0
2026-09-06 11:03:58,Dólar (USD/BRL),USDBRL=X,BRL,1 Mês,20,5,0.1,0.85,10,3,5.5,5.65,2.73,Alta Estimada [Algoritmo Genético Evolutivo],0.015,0.012,0.25,0.96,85.0
2024-01-01 10:00:00,Dólar (USD/BRL),USDBRL=X,BRL,1y,50,20,0.15,0.85,10,5,5.42,5.48,1.1,Alta (Subida),0.045,0.035,0.65,0.92,68.5
2026-09-06 11:04:23,Dólar (USD/BRL),USDBRL=X,BRL,1 Mês,0,0,0.0,0.85,10,3,5.5,5.5254,0.46,Lateralidade / Neutro [Regressão Linear (Ridge)],0.0,0.0,0.0,1.0,100.0
2026-09-06 11:04:34,Dólar (USD/BRL),USDBRL=X,BRL,1 Mês,20,5,0.1,0.85,10,3,5.5,5.65,2.73,Alta Estimada [Algoritmo Genético Evolutivo],0.015,0.012,0.25,0.96,85.0
2026-09-06 11:31:14,Bitcoin (BTC/USD),BTC-USD,USD,1y,0,0,0.0,0.85,10,5,79841.0469,80772.3375,1.17,Alta Estimada (Bullish) [Regressão Linear (Ridge)],1886.6988,1328.39,1.68,0.9845,54.2
2024-01-01 10:00:00,Dólar (USD/BRL),USDBRL=X,BRL,1y,50,20,0.15,0.85,10,5,5.42,5.48,1.1,Alta (Subida),0.045,0.035,0.65,0.92,68.5
2026-09-06 11:59:51,Dólar (USD/BRL),USDBRL=X,BRL,1 Mês,0,0,0.0,0.85,10,3,5.5,5.5254,0.46,Lateralidade / Neutro [Regressão Linear (Ridge)],0.0,0.0,0.0,1.0,100.0
2026-09-06 12:00:28,Dólar (USD/BRL),USDBRL=X,BRL,1 Mês,20,5,0.1,0.85,10,3,5.5,5.65,2.73,Alta Estimada [Algoritmo Genético Evolutivo],0.015,0.012,0.25,0.96,85.0
2024-01-01 10:00:00,Dólar (USD/BRL),USDBRL=X,BRL,1y,50,20,0.15,0.85,10,5,5.42,5.48,1.1,Alta (Subida),0.045,0.035,0.65,0.92,68.5
2026-09-06 12:04:37,Dólar (USD/BRL),USDBRL=X,BRL,1 Mês,0,0,0.0,0.85,10,3,5.5,5.5254,0.46,Lateralidade / Neutro [Regressão Linear (Ridge)],0.0,0.0,0.0,1.0,100.0
2026-09-06 12:05:24,Dólar (USD/BRL),USDBRL=X,BRL,1 Mês,20,5,0.1,0.85,10,3,5.5,5.65,2.73,Alta Estimada [Algoritmo Genético Evolutivo],0.015,0.012,0.25,0.96,85.0
2024-01-01 10:00:00,Dólar (USD/BRL),USDBRL=X,BRL,1y,50,20,0.15,0.85,10,5,5.42,5.48,1.1,Alta (Subida),0.045,0.035,0.65,0.92,68.5
2026-09-06 12:09:32,Dólar (USD/BRL),USDBRL=X,BRL,1 Mês,0,0,0.0,0.85,10,3,5.5,5.5254,0.46,Lateralidade / Neutro [Regressão Linear (Ridge)],0.0,0.0,0.0,1.0,100.0
2026-09-06 12:10:10,Dólar (USD/BRL),USDBRL=X,BRL,1 Mês,20,5,0.1,0.85,10,3,5.5,5.65,2.73,Alta Estimada [Algoritmo Genético Evolutivo],0.015,0.012,0.25,0.96,85.0
2024-01-01 10:00:00,Dólar (USD/BRL),USDBRL=X,BRL,1y,50,20,0.15,0.85,10,5,5.42,5.48,1.1,Alta (Subida),0.045,0.035,0.65,0.92,68.5
2026-09-06 12:11:48,Dólar (USD/BRL),USDBRL=X,BRL,1 Mês,0,0,0.0,0.85,10,3,5.5,5.5254,0.46,Lateralidade / Neutro [Regressão Linear (Ridge)],0.0,0.0,0.0,1.0,100.0
2026-09-06 12:12:26,Dólar (USD/BRL),USDBRL=X,BRL,1 Mês,20,5,0.1,0.85,10,3,5.5,5.65,2.73,Alta Estimada [Algoritmo Genético Evolutivo],0.015,0.012,0.25,0.96,85.0
2026-09-06 14:19:51,Dólar (USD/BRL),USDBRL=X,BRL,1 Mês,20,5,0.1,0.85,10,3,5.5,5.65,2.73,Alta Estimada [Algoritmo Genético Evolutivo],0.015,0.012,0.25,0.96,85.0
2026-09-06 14:21:38,Bitcoin (BTC/BRL),BTC-BRL,BRL,1 Ano,0,0,0.0,0.85,10,5,408481.7852452919,408691.9907536055,0.051460191349139164,Alta (Subida) [arima],9932.999409989483,7035.5622092854255,1.74383457601405,0.9833615194779626,54.6875
2026-09-06 14:23:09,Bitcoin (BTC/BRL),BTC-BRL,BRL,1y,0,0,0.0,0.85,10,5,408481.7852,408521.6903,0.01,LATERALIZAÇÃO [7.6% Prob.] [M.A.P.P. (Market Analysis Pattern Prediction)],2682.0004,1644.1314,0.39,0.9991,98.2
2026-09-06 14:23:21,Bitcoin (BTC/BRL),BTC-BRL,BRL,5y,0,0,0.0,0.85,10,5,408481.7852,408521.6903,0.01,LATERALIZAÇÃO [7.6% Prob.] [M.A.P.P. (Market Analysis Pattern Prediction)],2682.0004,1644.1314,0.39,0.9991,98.2
2026-09-06 14:23:42,Bitcoin (BTC/BRL),BTC-BRL,BRL,5y,0,0,0.0,0.85,10,730,408481.7852,3406482.3214,733.94,ALTA [92.0% Prob.] [M.A.P.P. (Market Analysis Pattern Prediction)],2682.0004,1644.1314,0.39,0.9991,98.2
2026-09-06 14:24:51,Euro (EUR/BRL),EURBRL=X,BRL,5y,0,0,0.0,0.85,10,504,5.9496,5.6044,-5.8,BAIXA [69.2% Prob.] [M.A.P.P. (Market Analysis Pattern Prediction)],0.0192,0.0132,0.22,0.9898,75.6
2026-09-06 14:25:20,Boi Gordo (Live Cattle),LE=F,USD,5y,0,0,0.0,0.85,10,504,212.95,46.5677,-78.13,BAIXA [92.0% Prob.] [M.A.P.P. (Market Analysis Pattern Prediction)],1.074,0.5894,0.25,0.9911,88.3
2026-09-06 14:25:46,Soja (Soybeans Futures),ZS=F,USD,5y,0,0,0.0,0.85,10,504,1309.75,5020.0358,283.28,ALTA [92.0% Prob.] [M.A.P.P. (Market Analysis Pattern Prediction)],4.0698,2.9719,0.26,0.9963,89.1
2026-09-06 14:26:20,Bitcoin (BTC/BRL),BTC-BRL,BRL,5y,100,0,0.05,0.85,10,5,408481.7852,409873.1835,0.34,Lateralidade / Neutro [LightGBM],5810.0608,4016.6395,1.01,0.9943,73.1
2026-09-06 14:26:37,Bitcoin (BTC/BRL),BTC-BRL,BRL,5y,100,0,0.05,0.85,10,730,408481.7852,413119.8575,1.14,Alta Estimada (Bullish) [LightGBM],5810.0608,4016.6395,1.01,0.9943,73.1
2026-09-06 14:28:02,Boi Gordo (Live Cattle),LE=F,USD,5y,120,0,0.05,0.85,10,504,212.95,238.4421,11.97,Alta Estimada (Bullish) [XGBoost],1.0117,0.7824,0.33,0.9927,83.7
2026-09-06 14:28:18,Bitcoin (BTC/BRL),BTC-BRL,BRL,5y,120,0,0.05,0.85,10,730,408481.7852,412099.9816,0.89,Alta Estimada (Bullish) [XGBoost],4774.3936,3289.0509,0.82,0.9962,75.3
2026-09-06 14:37:09,Bitcoin (BTC/BRL),BTC-BRL,BRL,1y,60,35,15,0.85,10,730,408481.7852452919,408293.9304301358,-0.04598854145804225,Neutro / Estavel [Algoritmo Genético Evolutivo],12882.78903922257,9007.806122359409,2.231078604158366,0.9720119504896244,50.9375
2026-09-06 14:37:24,Bitcoin (BTC/BRL),BTC-BRL,BRL,5y,60,35,15,0.85,10,730,408481.7852452919,408293.9304301358,-0.04598854145804225,Neutro / Estavel [Algoritmo Genético Evolutivo],12882.78903922257,9007.806122359409,2.231078604158366,0.9720119504896244,50.9375
2026-09-06 14:38:29,Bitcoin (BTC/BRL),BTC-BRL,BRL,5y,0,0,0.0,0.85,10,730,408481.7852,3406482.3214,733.94,ALTA [92.0% Prob.] [M.A.P.P. (Market Analysis Pattern Prediction)],2682.0004,1644.1314,0.39,0.9991,98.2
2026-09-06 14:41:31,Bitcoin (BTC/BRL),BTC-BRL,BRL,5y,0,0,0.0,0.85,10,730,408481.7852,3444307.1458,743.2,ALTA [92.0% Prob.] [M.A.P.P. (Market Analysis Pattern Prediction)],2539.1295,1424.1305,0.33,0.9993,95.8
